Advice;Path;Path succeeded (0=yes, 1=no);Trial time (s);Distance travelled (m);Walked path;Number of travelled areas;Mean time in area (s);Number of errors;Number of areas travelled by error;Time spent in error (s);Distance travelled in error (m);Step count;Step length (m);Walk speed (m/s);Step frequency (/s);Proportion of time left foot was in front;Step length asymmetry index (%);Step length ratio;Number of pauses;Mean pause duration (s)
LIGHT;C;1;0,0177113;0;55.13;2;0,00885565;1;1;0;0;0;-1;0;NaN;1;-1;-1;0;0
LIGHT;C;1;6,110262;3,618823;55.45.35;3;2,036754;0;0;0;0;7;1,486456;0,5937849;1,49442;0,45;105,3582;0,309937;0;0
LIGHT;C;1;0;0;;0;-1;0;0;0;0;0;-1;0;NaN;NaN;-1;-1;0;0
LIGHT;C;1;12,73925;20,10223;55.45.35.34.23.13.12.11.21;9;1,415473;0;0;0;0;0;-1;1,580204;NaN;1;-1;-1;0;0
LIGHT;C;1;9,647223;5,748839;55.45.35.34;4;2,411806;0;0;0;0;12;1,160653;0,596806;1,537773;0,4643875;21,73289;0,8039723;1;0,004808555
LIGHT;C;0;35,71421;21,29337;55.45.35.34.23.13.12.11.21.31;10;3,571421;0;0;0;0;45;0,9103993;0,5964391;1,334051;0,4930686;5,598066;0,9455436;4;0,02104151
LIGHT;C;1;24,82824;14,7653;55.13.12.11.21.31.30.55.45;9;2,758693;1;7;0;0;37;1,588312;0,5950222;1,586279;0,5224875;3,014285;0,9703047;4;0,0360949
LIGHT;C;1;101,2515;0,0004271173;55;1;101,2515;0;0;0;0;19;1,765415;4,218813E-06;0,2392091;0,05962733;110,9344;0,2864448;16;1,304932
LIGHT;C;1;0;0;;0;-1;0;0;0;0;0;-1;0;NaN;NaN;-1;-1;0;0
LIGHT;C;1;10,75649;6,287479;55.30.55.45;4;2,689122;1;1;0;0;17;2,483505;0,5853082;1,818094;0,5164993;32,81603;0,7180948;2;0,0250441
LIGHT;C;1;33,17478;19,94456;55.35.34.23.13.12.11.21.31.30;10;3,317478;1;9;0;0;45;0,8375784;0,6014702;1,436683;0,4849549;26,46003;0,7663161;6;0,05922418
LIGHT;C;1;14,73459;9,095444;55.11.21.31.30;5;2,946918;1;4;0;0;24;0,8261405;0,6178946;1,797224;0,498615;7,25866;0,9299555;1;0,005879998
LIGHT;C;1;14,74645;8,977209;55.31.30.55.45.35;6;2,457742;1;4;0;0;23;2,161684;0,6093987;1,648887;0,5404624;28,88318;0,7476164;2;0,02228072
LIGHT;C;1;0;0;;0;-1;0;0;0;0;0;-1;0;NaN;NaN;-1;-1;0;0
LIGHT;C;1;59,56401;17,07011;55.23.13.12.11.21.31.30.55.45;10;5,956401;1;8;0;0;45;1,281285;0,2866524;1,607347;0,7622342;8,08914;0,9222531;4;0,02529247
LIGHT;C;1;12,66525;2,769264;55;1;12,66525;0;0;0;0;7;0,4688025;0,2188491;0,8722479;0,7913306;7,096003;0,9314713;1;0,01831098
LIGHT;C;1;66,68212;13,37941;55.34.43.42;4;16,67053;1;3;0;0;24;0,5159666;0,2006858;0,3925094;0,07142857;15,35;0,8574414;8;1,422777
LIGHT;C;0;35,80903;21,28907;55.45.35.34.23.13.12.11.21.31;10;3,580903;0;0;0;0;52;0,8320182;0,594758;1,483414;0,4971946;26,72815;0,7642273;2;0,0154136
LIGHT;C;1;14,88371;8,686823;55.12.11.21.31;5;2,976743;1;4;0;0;22;0,8383473;0,5842623;1,684096;0,4596849;28,16268;0,7531351;0;0
LIGHT;C;1;27,23961;0,0003094638;55;1;27,23961;0;0;0;0;4;0,6957507;1,136695E-05;0,3049631;1;-1;-1;2;2,843238
LIGHT;C;1;39,99832;0,0007224833;55;1;39,99832;0;0;0;0;4;0,8670006;1,806928E-05;0,1282671;0,9153383;-1;-1;2;6,478183
LIGHT;C;1;14,7;0,0002632553;55;1;14,7;0;0;0;0;1;0,5279999;1,792996E-05;1,483698;1;-1;-1;-1;-1
LIGHT;C;1;17,19011;0,0003180332;55;1;17,19011;0;0;0;0;0;-1;1,851863E-05;NaN;0,5670103;-1;-1;0;0
LIGHT;C;1;8,829854;0,002104924;55;1;8,829854;0;0;0;0;0;-1;0,0002388757;NaN;1;-1;-1;0;0
