Path;Advice;Simulation time (s);Distance travelled (m);Mean speed (m/s);Number of steps;Mean step frequency (step/s);Percent of left foot in front;Walked path;Number of areas covered;Average time in area (s);Nbr errors; Nbr wrong areas;Total error time (s);Total error distance (m)
T;PEANUT;20,50929;11,20864;0,5465153;0;-1;1;53.43.33.34.35;5;4,101859;0;0;0;0
A;PEANUT;43,42153;24,38565;0,5616027;0;-1;1;16.15.25.24.33.43.42.32.22.21;10;4,342153;0;0;0;0
T;PEANUT;80,09149;4,170001;0,05206546;0;-1;1;53.43.53.43;4;20,02287;1;1;2,066841;0
T;PEANUT;30,72563;2,04;0,06639409;0;-1;1;53.43;2;15,36281;0;0;0;0
T;PEANUT;126,2804;21,48921;0,1701706;1;-1;0,4254934;53.43.33.32.33.34.35;7;18,04006;1;1;11,49118;0
A;PEANUT;151,6758;40,58377;0,2675692;2;-2;0,5738827;16.15.25.35.45.35.25.15.25.24.33.43.42.32.22.21;16;9,479738;2;3;23,01518;2,555167
T;ARROW;49,0475;16,35554;0,3334633;2;0,06275214;0,6257426;53.43.33.32.33.34.35;7;7,006786;1;1;5,236294;0
C;ARROW;58,03727;21,68398;0,3736216;1;-1;0,3885752;55.45.35.34.23.13.12.11.21.31;10;5,803727;0;0;0;0
T;LIGHT;54,69647;21,70831;0,3968868;1;-1;0,4418685;53.43.33.32.31.32.33.34.35;9;6,077386;1;2;11,43901;2,587369
B;LIGHT;55,00414;21,74195;0,3952785;1;-1;0,4431358;01.11.12.13.23.33.32.42.43.44;10;5,500414;0;0;0;0
